rpm, pressure (Pa), angle (rad), samples, force_1 (N), force_2 (N), force_3 (N), force_5 (N), force_6 (N), force_7 (N), force_8 (N), force_10 (N), std_1 (N), std_2 (N), std_3 (N), std_5 (N), std_6 (N), std_7 (N), std_8 (N), std_10 (N)
700.0, -108.0, 1.5707963267948966, 237.0, 0.1661201703404536, 0.0008859329944216262, 0.0009263338110089113, 0.0023724060590237174, 0.4726220057883729, 0.044557873029307644, 0.04587672854730644, 0.6385333493358057, 0.006175984967969676, 3.951475367350768e-05, 2.471106690264176e-05, 0.00011245495089489453, 0.003265282785490431, 0.0023493090194099835, 0.006214752266132303, 0.00512926038508758
600.0, -75.0, 1.5707963267948966, 574.0, 0.09959166764678977, 0.0015635724095091623, 0.0009323899904534764, 0.002361931130649308, 0.35035077837823897, 0.0586044319327147, 0.05676102366215838, 0.5855932487349385, 0.0007445035319122322, 0.0004235675057473911, 3.1698502660349556e-05, 9.29339714165807e-05, 0.004512238105253966, 0.00232403768884495, 0.004961635587693031, 0.0033638708648631665
500.0, -48.0, 1.5707963267948966, 407.0, 0.09990802561631806, 0.009353944435162825, 0.0043530750606416545, 0.002239653011771357, 0.2188140337713252, 0.06641886490807354, 0.05396434053263953, 0.48224220773593446, 0.0009455960609154701, 0.0013026976172735268, 0.00023427755770776446, 5.022452466568016e-05, 0.0029533119696163995, 0.0017765716908677335, 0.0036875325299890764, 0.0017635304804627145
400.0, -24.0, 1.5707963267948966, 320.0, 0.10399899762820386, 0.03929032610942599, 0.023519469868732736, 0.002155414510827052, 0.1368641800920625, 0.10875406590615358, 0.05231855909421897, 0.38690656347383895, 0.0006851341213090759, 0.0009080856887032167, 0.000622442335980224, 3.22222739227386e-05, 0.0005515061457873942, 0.0006273488286928873, 0.0014645576966445131, 0.0016383270639307
300.0, -8.0, 1.5707963267948966, 831.0, 0.10653574574142795, 0.07305777547716936, 0.05942387875684869, 0.0021598106426762662, 0.10461252599234422, 0.12072492102471867, 0.06089880451956874, 0.31689816982667435, 0.0010561752877974084, 0.00045989530149499855, 0.0004348360619670859, 3.740558176357433e-05, 0.0006352134137680479, 0.0006092007615853746, 0.0009462684058051526, 0.0013642045263177283
700.0, -107.0, 1.5707963267948966, 264.0, 0.08996134258865429, 0.0009522399063342898, 0.0012336917531681109, 0.0024043475794333657, 0.42901371016942513, 0.021774679878738518, 0.07214748096074985, 0.6593393199640494, 0.0032556305172219296, 4.998365346512936e-05, 0.00016972344323582336, 8.35744425504303e-05, 0.004368310803179446, 0.0010997444673735146, 0.005453043298515419, 0.0020237905046662074
0.0, 0.0, 3.141592653589793, 20.0, 0.21121548799862597, 0.09151496522526731, 0.09923410967937019, 0.00910202613155354, 0.09546404203924228, 0.16359784553309734, 0.0655505690852791, 0.14946955701580025, 0.0003088137239635131, 0.0002971340046430367, 0.0001559434704157067, 0.0001849381590142768, 6.425596943440028e-05, 0.001551388470015037, 0.0006289719896622474, 0.0007889275403361285
700.0, -118.0, 3.141592653589793, 395.0, 0.09943777077963281, 0.19102120916541263, 0.08124088409146935, 0.4401013936294562, 0.09140768595177524, 0.43031222093032645, 0.0004922300775771778, 0.43537288914682926, 0.000518681495211571, 0.0014495221591418926, 0.0008587955952263338, 0.0034777538632684984, 0.0005737118036755195, 0.002754834929966264, 2.3630840457295324e-05, 0.0022597605899682665
600.0, -80.0, 3.141592653589793, 521.0, 0.09943498681978517, 0.16455676377607162, 0.08942939694817371, 0.37638277814553006, 0.09199689769967187, 0.3838077675790402, 0.0005489566288911784, 0.40157979496365204, 0.0008502129129402469, 0.001140223901391711, 0.0005424144472427291, 0.0024713904157473527, 0.0006973475779098436, 0.001602949492385579, 2.339453157952077e-05, 0.0017038020678041175
500.0, -51.0, 3.141592653589793, 512.0, 0.10296866385313382, 0.14265296792391705, 0.09877401917820845, 0.2608487820258207, 0.09122191169607992, 0.2909976658049779, 0.0007259481369569859, 0.3395681698015614, 0.0008446997675722204, 0.00105758724515192, 0.0007379951957170867, 0.0020807498109713944, 0.0004479744468351095, 0.002420754464282452, 4.151531224332984e-05, 0.0022721075351461715
